,minLC,maxLC,minNu,maxNu,elasticity.K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.poisson_ratio,lvpa,cepa,group1,atomic_mass1,atomicRadius1,rowH1A,rowHn3A,xH4A,xHn4A,cohesive_energy,average_electroneg,bandgap,density,formation_energy-peratom,e_above_hull
mp-27718,45.45454545454545,45.45454545454547,-0.1538461538461539,-0.05793451326470001,7.0,25.666666675182352,28.76923076923077,13.999999999999998,16.999998762955492,15.0,15.0,15.0,7.0,7.0,-0.12,1.567512299627041,-2.037692396,12.799999999999999,114.64149038,1.51,4.800000000000001,4.465951504030076,2.6502924702077086,1.1699212493705735,2.027029214,2.3339999999999996,0.0,5.153219176981352,-0.9945472492413794,0.04075964866666526
mp-865080,66.66666666666666,66.66666666666667,-0.3491124115840692,-0.28571428571428564,5.0,23.57142857142857,25.14705882238736,16.50000073724797,19.000000000000007,18.0,18.0,18.0,5.0,5.0,-0.3,1.3709058521396777,-3.412402915,6.75,139.25972682,1.5875000000000001,5.75,4.360362816748566,2.150614974311837,1.1861976802330025,3.4548123674999998,1.7825000000000002,0.0,9.843935904379528,-0.49676279612499963,0.015449359375000249
mp-13925,333.3333333333332,333.3333333333332,-0.8571428571428574,-0.7700877093414628,1.0,7.650000001424508,8.142857142857148,16.999999999999996,28.49999345308211,20.0,21.0,21.0,1.0,1.0,-0.82,1.289502810733579,-4.832590785,10.799999999999999,49.169694228,1.1800000000000002,3.2,2.316654720596835,3.505019524578427,1.0953485271692942,4.843395942,2.761,6.865399999999999,4.192217314283556,-3.5991603094053786,0.0
mp-7961,30.303030303030305,30.303030303030308,-0.08333333333333355,-0.08333333333333323,11.0,38.49999999999999,38.50000000000001,21.0,21.00000000000001,21.0,21.0,21.0,11.0,11.0,-0.09,1.4446642965498622,-3.924422157999999,7.200000000000001,79.51388,1.6099999999999999,4.4,3.1697386151133244,2.3680733439852117,1.0739894123946203,3.9438450119999997,1.65,0.0,4.742722778106352,-1.65798648325,0.0
mp-989580,31.25,31.25000000000001,-0.17948717948717954,-0.06504961928029651,11.0,38.03773586372097,43.48717948717948,21.0,26.49999961421901,23.0,23.0,23.0,11.0,11.0,-0.14,1.2567681446257648,-3.167473246,12.0,43.2906323,1.105,3.0,2.231538830284888,3.5521872730197135,1.0788316224135528,3.1677652370000002,2.932,2.9976000000000003,3.9799248805147727,-1.8914514609933792,0.03338190850000089
mp-989523,39.99999999999999,40.0,-0.30555555555555564,-0.19712073477204764,8.0,35.9375000013817,40.27777777777778,23.0,28.99999957949326,25.0,25.0,25.0,8.0,8.0,-0.26,1.2317639031102559,-3.9591874560000004,12.0,38.283738848,1.065,2.9000000000000004,2.3030239236595924,3.516858696289024,1.1444828388159067,3.95773679,2.863,4.5539000000000005,3.7282028355832546,-2.8314394877329656,0.0
mp-4051,33.37148894954654,40.239499867922866,-0.5795531992446609,-0.051905920564688464,9.0,32.33309608540925,47.84328786741352,19.24099959151565,55.00000000000002,27.0,34.0,31.0,9.0,9.0,-0.28,1.1955800961995642,-6.5057202075,15.333333333333334,20.325483433333336,0.775,2.3333333333333335,2.186390703747243,3.14882873491607,2.2829881924997864,6.579240174166666,2.9266666666666663,5.475,2.151344091977407,-3.1355784153571427,0.0025161008333345336
mp-631316,19.230769230769226,19.230769230769237,-0.054545454545454564,-0.046301864522624664,17.0,57.07317073332205,57.672727272727286,29.99999999999999,30.499999971744685,30.0,30.0,30.0,17.0,17.0,-0.05,1.2820989979870037,-2.5582058324999997,7.5,51.34125,1.4125,3.25,2.445126911408623,1.6581557759478158,1.146121764218705,2.5613427074999997,1.455,0.10899999999999999,4.452629206718024,-0.3996584012499995,0.05258821597826158
mp-866229,125.00000000000004,125.00000000000006,-0.7419354838709681,-0.6511891409861645,3.0,18.514285715144524,19.87096774193548,27.0,38.49999443150342,31.0,32.0,31.0,3.0,3.0,-0.7,1.4549755848156145,-2.4605436125,7.5,99.864,1.6375,4.75,4.500550916115177,1.6916635201833168,1.1705954352252934,2.455733005,1.49,0.13680000000000003,5.816777653510107,-0.6623730800000001,0.0
mp-2739,56.49157581764123,85.23290386521309,-0.7690282704051029,-0.3677062574541421,5.0,21.82444668008048,43.8695652173913,21.500000042188937,55.999999951797115,33.0,37.0,35.0,5.0,6.0,-0.54,1.195619325928209,-4.513963133333334,16.0,53.1996,0.8666666666666666,3.0,2.2655162567980835,3.1610021690739987,2.5994836199032534,4.594878466666667,2.9933333333333336,2.8141,5.6303855057262355,-1.4983085808333332,0.01111684249999989
mp-989536,166.66666666666669,166.66666666666669,-0.7824360665656006,-0.7499999999999999,2.0,15.0,15.365853658281956,30.000001455346684,35.00000000000001,33.0,33.0,33.0,2.0,2.0,-0.75,1.1932210513256274,-3.173083228,12.0,40.074902300000005,1.03,2.8,2.147825953143338,3.552449531675323,1.124477418209713,3.173306602,2.9479999999999995,2.7104,4.26481808772569,-1.824214299193379,0.09813157513100013
