,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-8224,45.45454545454546,45.45454545454547,-0.6764705882352944,0.26346012682383485,7.0,19.161290326886572,51.764705882352935,9.0,79.99996492019359,-0.32
mp-697133,112.58278145695364,125.82781456953646,-0.5625000000000002,-0.3183999571321841,3.0,14.416833672856535,18.875,10.999999999999995,17.539019693882047,-0.47
mp-561543,40.0,40.00000000000001,-0.10714285714285716,0.06649936393359783,8.0,24.32432432760855,30.357142857142858,11.999999999999995,16.999999606278415,-0.04
mp-27718,45.45454545454545,45.45454545454547,-0.1538461538461539,-0.05793451326470001,7.0,25.666666675182352,28.76923076923077,13.999999999999998,16.999998762955492,-0.12
mp-557397,33.333333333333336,33.33333333333334,-0.06250000000000003,0.06299211942196559,10.0,28.636363649712113,33.75,13.999999999999998,17.999998253584273,-0.03
mp-1008752,37.037037037037024,37.037037037037045,-0.4489795918367349,0.2329976241375717,9.0,23.44736846018241,51.244897959183675,10.999999999999995,46.499991658578,-0.14
mp-28698,-26.13480055020632,96.28610729023384,-0.9276609914611412,1.1333333333333329,14.0,14.394442291592961,61.64386132916236,7.306121183584198,52.55648331014464,-0.02
mp-865080,66.66666666666666,66.66666666666667,-0.3491124115840692,-0.28571428571428564,5.0,23.57142857142857,25.147058822387358,16.50000073724797,19.000000000000007,-0.3
mp-13925,333.33333333333314,333.3333333333332,-0.8571428571428574,-0.7700877093414628,1.0,7.650000001424508,8.142857142857148,16.999999999999996,28.49999345308211,-0.82
mp-7961,30.303030303030305,30.303030303030308,-0.08333333333333355,-0.08333333333333323,11.0,38.49999999999999,38.50000000000001,21.0,21.00000000000001,-0.09
mp-22817,28.56069146937241,30.439684329199547,-0.2941176470588236,0.17804214587003042,12.0,32.61422370250656,52.17647058823529,13.999999999999998,36.643274271412565,-0.1
mp-865755,24.999999999999996,25.000000000000004,-0.22789537632258994,0.1083435744037538,14.0,33.513513513513516,50.43478259139447,15.500002450252,29.00000000000001,-0.04
mp-989580,31.25,31.25000000000001,-0.17948717948717954,-0.06504961928029651,11.0,38.03773586372097,43.48717948717948,21.0,26.49999961421901,-0.14
