,,minLC,maxLC,minNu,maxNu,G_Voigt_Reuss_Hill,K_Voigt_Reuss_Hill
32,mp-30999,-121.910626245472,630.682556070034,-3.13908724931758,4.63908726232875,4.3261547735156,7.40433459796884
33,mp-568848,111.111111111111,217.391304347826,0.0000000000000911946978269712,0.489372458553703,1.45322909090056,2.49855941695154
34,mp-28233,15.3846153846154,333.333333333333,0,0.550458791681034,5.33031659496168,9.03403828989125
35,mp-27934,10.8695652173913,114.130434782609,0.0389206436439706,0.772035419885818,3.66168791054646,10.4351606137831
36,mp-760482,23.2558139534884,441.860465116279,0.0416668687473573,0.777777758426247,1.45629187426829,2.30592916364706
37,mp-1029037,3.74939945665464E-030,1000,-0.00408256281034717,0.785454545432133,14.2426033545157,19.8310400653828
38,mp-1170,8.13008130081301,500,0,0.427048002012455,10.343092068258,14.6113229837707
39,mp-30034,1.82815356489945,107.861060329068,0.035156802594755,0.826923530653389,5.23510866378908,14.8599766568131
40,mp-27679,15.4639175257732,242.268041237113,-0.429780420756677,0.695980718044774,4.0305702033827,7.84575168414079
41,mp-9481,-17.2120186055812,543.980837606025,-1.76601978376586,2.77187908486705,18.3776939450282,26.1994499880157
42,mp-568388,-63.8951886526167,654.804278536799,-0.368381896593409,1.38267955664386,2.37068065997537,3.75797659643542
43,mp-768036,6.6006600660066,75.9075907590759,0.00714285714285714,0.876371598966303,16.148536353508,22.2354346939373
44,mp-27637,6.45855758880517,85.037674919268,0.0171879795720676,0.847788271576509,7.15078751046295,16.6312643265251
45,mp-567354,22.7272727272727,200,-0.536226421863294,0.739890663509943,3.46391100350988,7.3434377970857
46,mp-27954,-1.29366106080207,143.59637774903,-0.462532738302595,1.12697248353069,5.0243194076401,10.0343309822661
47,mp-4384,2.44498777506112,165.036674816626,-0.973665697089621,0.824746307566261,24.0904270458091,34.3084581191457
48,mp-2815,2.28310502283105,497.716894977169,0.00454545454545454,0.470611640462182,17.6580730635494,26.0306530589685
49,mp-572758,-15.7321572089483,631.100443231398,-0.923413600776955,2.08380660603123,20.2140006789095,27.5357843525396
50,mp-1434,2.99850074962519,331.334332833583,0.00448430493273543,0.618998547799106,17.9182631669463,26.7420318177489
51,mp-29803,4.94233937397034,196.046128500824,-0.0155829990941753,0.765378131305703,10.4012187696993,16.7494201843435
52,mp-22859,4.8971596474045,75.4162585700294,0.0252240360433826,0.859022854062142,4.09127020185454,9.79307317881289
53,mp-11725,0.000000000000111022302462516,100,-0.693529916586414,1.37931034472362,1.95510827387301,4.96724372258341
54,mp-1115,-15.2671755725191,1091.60305343511,-0.0584868852876367,2.29245269722419,11.2258824560862,17.9585634217494
55,mp-8868,19.3661971830986,36.9718309859155,0.0769230769230769,0.803910927969333,3.18964771671177,11.2838668376392
