,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mp-756132,0.3058103975535145,32.11009174311927,0.03875968992248061,0.8664952821928966,21.392980838484704,6.141508218429985,105.48387096774195,2.0,16.128236319507877
mp-778409,-3.259364085270381,50.88522220884019,-0.5122555806285866,1.1906081156436574,22.59726802063623,3.8986307234063458,98.55192878338278,1.0,37.056624081698054
mp-765852,-2.69489401014366,134.51609067064874,-0.5855078081042652,1.1854324673171726,41.48970203008297,4.2374482691366016,234.3155416012559,1.3044345520138279,87.19620928958084
mp-867196,4.901960784313721,4.901960784313792,-1.1365682582994647,1.9108213509416856,68.25672546458895,4.467153284671535,114.59760086995077,1.5000000807153968,47.00000000000001
mp-7597,4.940711462450592,165.01976284584978,-0.006491658953802233,0.5828750272642037,22.203366544646563,5.246999363902981,109.48038127718,1.9737024095683438,40.5258422379944
mp-975272,24.999999999999993,49.999999999999986,0.21951219521574666,0.3529411764705883,8.279330028826426,8.974358974358974,11.764705882352942,3.5000000005453167,4.040404018523832
mp-676540,-3.3127825498716676,74.04829989987368,-0.6244810150063651,1.1501232343292325,13.544984820334074,5.186533280312304,47.6664505997888,1.6210594749023441,13.075373956773193
mp-865097,4.065040650406484,4.065040650406527,-1.2167986526598806,1.999847985909232,82.20080427605106,4.472727272727275,130.81605219328748,1.5000000810166365,53.000000000000014
mp-772359,10.994263862332694,145.3154875717017,-0.051312515802076984,0.6029189248889391,31.372660269756167,5.728221065785209,216.15080307889247,1.9899000203053203,101.01008742636522
mp-754084,-74.07998298234418,164.00765794511807,-0.38636513792885163,1.9927944566959805,26.493867736268292,2.9847619047619047,93.39359695183583,1.3141379910299469,41.000000000000036
mp-975383,142.85714285714283,142.85714285714292,-0.5942028671515607,0.31884057727907394,3.0,4.666666666666666,12.833333318074896,2.00000055567794,11.000000000000004
mp-765851,6.400839454354669,7.7649527806925525,0.05350190756086259,0.8889277407162542,45.91349277641274,7.519472583671997,87.43119266055047,2.0,24.481770566135154
