,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mvc-15744,-40.81076512565428,52.19858980624903,-1.4558394889066806,2.4953525553485396,90.97305057794549,0.9848100483899295,63.96548990409119,0.2755643236020381,28.11500835898099
mp-7,166.6666666666667,333.3333333333333,-0.14285714206236266,0.5714285714285702,1.3394352652303945,1.5,3.428571428571429,0.7741935694991866,1.9999999999850457
mp-23288,153.84615384615387,384.61538461538464,-0.3333333333333333,0.6666664127197964,1.2194077786567397,1.3,4.333333333333333,0.44827586220501997,1.488371344339053
mp-570722,7.042253521126762,330.9859154929579,0.010526317116563726,0.511248242688611,3.567599590466356,1.494736842105263,47.333333333333336,0.5000000004330549,2.201550151388699
mp-30954,250.0,1000.0,-0.20710678118654705,0.14644660779439664,0.8691137161221475,1.0,4.0,0.666666666666672,1.333333303728679
mp-570922,33.333333333333336,1000.0,-0.08082432506322558,0.7647058757917056,3.769216386551775,1.0,33.529411764705884,0.8759124115148246,18.999999428375528
mp-30953,-39.99999955317191,399.9999999999999,-0.5878104819043283,1.0086021241954617,1.6905112590806206,1.4862326226055673,5.462997455011712,0.6662385291051469,2.146905369021239
mp-990448,1.1160714285714284,1000.0,-0.001261377559073646,0.17585301781773835,99.81711060012286,1.0,738.4356955380578,0.9986476173657373,313.9999590099738
mp-540789,-6.938893903907227e-15,500.0000000000001,0.08162092196461421,0.7499999996894993,3.9839047505824494,1.6666666666666665,15.0,1.0,5.999999999985174
mp-27462,15.151515151515152,242.42424242424244,0.01538461538461538,0.9223300476160168,7.915871577137372,2.66197183401597,48.738461538461536,1.0,23.999969317546803
mp-2800,2.8653295128938656,2.865329512894088,-1.6919105757337818,2.5857384483714845,116.55938335872474,1.4978540772532027,85.41315618744129,0.5000001670519308,31.000000000000007
mp-23317,85.7142857142857,400.00000000000006,-0.6363636350547596,0.5454545440296478,1.2986328513469776,1.8823529414846154,3.181818181818182,0.7328244610397212,3.1818181698616987
mp-23229,8.174386920980925,193.46049046321525,0.026666666666666658,0.7195718084665836,11.0,3.182159068486742,55.018739352640544,1.0,21.999998647879877
mp-28683,11.673151750972762,392.99610894941634,-0.19999999999999998,0.5999999982189907,4.0,1.6474358974358976,51.4,0.7079889808444374,2.538920957481094
mp-28753,5.6179775280898845,494.3820224719101,0.011111111111111106,0.45892859152711224,11.0,1.9777777777777776,71.6778523489933,1.0,29.999999887844254
