,minLC,maxLC,minNu,maxNu
mp-23229,8.174386920980925,193.46049046321525,0.026666666666666658,0.7195718084665836
mp-23267,-1000.0,-1000.0,-1000.0,-1000.0
mp-23281,-1000.0,-1000.0,-1000.0,-1000.0
mp-28683,11.673151750972762,392.99610894941634,-0.19999999999999998,0.5999999982189907
mp-28753,5.617977528089884,494.3820224719101,0.011111111111111106,0.45892859152711224
mp-769642,-1500.0,-1500.0,-1500.0,-1500.0
mp-568584,142.85714285714286,285.71428571428567,0.07627728358620049,0.4618614501424823
mp-570437,-1000.0,-1000.0,-1000.0,-1000.0
mp-556646,-1000.0,-1000.0,-1000.0,-1000.0
mp-865493,-1000.0,-1000.0,-1000.0,-1000.0
mp-864733,-1000.0,-1000.0,-1000.0,-1000.0
mp-962064,90.9090909090909,90.90909090909093,0.3749999999999995,0.37500000000000033
mp-27975,-1000.0,-1000.0,-1000.0,-1000.0
mp-23041,-1000.0,-1000.0,-1000.0,-1000.0
mp-8560,55.55555555555555,55.555555555555564,0.03278688601093318,0.7704917624863132
mp-22849,-1000.0,-1000.0,-1000.0,-1000.0
mp-23244,-1000.0,-1000.0,-1000.0,-1000.0
mp-31053,-1500.0,-1500.0,-1500.0,-1500.0
mp-974982,-1000.0,-1000.0,-1000.0,-1000.0
mp-27974,-1000.0,-1000.0,-1000.0,-1000.0
mp-22880,-1000.0,-1000.0,-1000.0,-1000.0
mp-28013,-1000.0,-1000.0,-1000.0,-1000.0
mp-22966,99.99999999999997,199.99999999999994,0.24502964531104968,0.5
mp-22863,-1000.0,-1000.0,-1000.0,-1000.0
mp-28448,-1000.0,-1000.0,-1000.0,-1000.0
mp-30999,-121.91062624547222,630.6825560700337,-3.1390872493175843,4.639087262328748
mp-567484,-1000.0,-1000.0,-1000.0,-1000.0
mp-568848,111.1111111111111,217.3913043478261,9.119469782697115e-14,0.48937245855370254
mp-28233,15.384615384615385,333.3333333333333,0.0,0.5504587916810341
mp-27934,10.869565217391303,114.13043478260872,0.03892064364397064,0.7720354198858185
mp-760482,23.255813953488385,441.86046511627904,0.04166686874735726,0.777777758426247
mp-1029037,3.749399456654644e-30,1000.0,-0.0040825628103471736,0.7854545454321333
mp-1170,8.130081300813007,500.0,0.0,0.4270480020124546
mp-30034,1.8281535648994491,107.86106032906766,0.03515680259475496,0.8269235306533889
mp-27679,15.463917525773194,242.2680412371134,-0.42978042075667655,0.6959807180447741
mp-9481,-17.21201860558116,543.9808376060248,-1.7660197837658638,2.771879084867051
mp-568388,-63.8951886526167,654.8042785367992,-0.3683818965934094,1.382679556643855
mp-562100,-1000.0,-1000.0,-1000.0,-1000.0
mp-768036,6.600660066006601,75.9075907590759,0.00714285714285714,0.8763715989663025
mp-561203,-1000.0,-1000.0,-1000.0,-1000.0
mp-27637,6.458557588805166,85.03767491926803,0.01718797957206755,0.8477882715765089
mp-567354,22.727272727272716,200.0,-0.5362264218632945,0.7398906635099435
