,minLC,maxLC,minNu,maxNu,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill,elasticity.poisson_ratio
mp-1017467,7.04225352112676,7.042253521126762,-0.20670391061452517,0.013170078147480148,154.7354261054187,200.70391061452517,81.0,126.49999605026058,95.0,99.0,97.0,47.0,47.0,47.0,-0.11
mp-1006886,23.255813953488364,23.255813953488374,-0.2181818181818182,0.048618601813823055,44.95454545891059,61.76363636363637,22.999999999999993,39.499990377314035,28.0,30.0,29.0,14.0,14.0,14.0,-0.1
mp-22817,28.560691469372408,30.439684329199544,-0.2941176470588236,0.17804214587003042,32.61422370250656,52.1764705882353,13.999999999999998,36.64327427141257,21.0,25.0,23.0,12.0,12.0,12.0,-0.1
mp-776651,6.176564754818452,11.706050937070442,-0.29339363931399665,0.06251425962272296,100.08737165211232,153.9780688003018,57.01703148793403,84.99999511078477,70.0,73.0,71.0,35.0,37.0,36.0,-0.09
mp-7961,30.303030303030305,30.30303030303031,-0.08333333333333355,-0.08333333333333322,38.499999999999986,38.50000000000001,20.999999999999996,21.00000000000001,21.0,21.0,21.0,11.0,11.0,11.0,-0.09
mp-1019259,19.047619047619047,41.26984126984127,-0.27571851022884575,0.020408163105905947,26.694915254237284,57.65895953757226,19.55003987627265,29.000000000000007,25.0,27.0,26.0,13.0,15.0,14.0,-0.09
mp-962075,66.66666666666664,66.6666666666667,-0.7721518486840215,1.012658227188366,4.090909090909091,28.124999941046077,1.5000000783737608,25.000000000000007,4.0,16.0,10.0,5.0,5.0,5.0,-0.09
mvc-5096,3.3474549874474837,10.085303613217079,-0.6395848025247067,0.3552385465444464,107.29094925708951,268.0385147575895,53.763433077949145,194.00000000000003,80.0,109.0,95.0,47.0,53.0,50.0,-0.08
mp-771798,6.944444444444442,6.944444444444444,-0.22994652406417118,0.12108593635332958,137.17535546724372,210.22459893048133,67.0,136.49999212964758,85.0,95.0,90.0,48.0,48.0,48.0,-0.08
mp-570223,31.249999999999996,31.250000000000007,-0.1578947368421053,0.005025117807508498,34.560000004207694,42.10526315789474,18.0,24.999999459597827,20.0,21.0,20.0,11.0,11.0,11.0,-0.08
