,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-8539,57.99999999999999,72.0,-0.7158308742172139,0.5212981645902535,5.0,12.170385395537526,38.3480825958702,4.000000004783662,42.71631858032774,-0.26
mp-7621,93.16770186335401,105.59006211180126,-0.40857515815655326,-0.04080971452409667,4.0,12.384615384615383,16.10337160258366,6.719223600530429,13.000000000000004,-0.2
mp-6945,19.409684439608274,25.340043525571275,-0.5203552623548694,0.024886848195921088,16.0,46.94763729246488,71.0918035559274,26.99467602368964,72.00000000000003,-0.2
mp-999052,15.625,15.625,-0.4128440198290751,0.0,21.0,64.0,104.85106378431685,32.00000635060453,77.00000000000001,-0.19
mp-27294,25.641025641025635,25.641025641025642,-0.3035714285714287,0.044331952719151795,13.0,42.19672135389696,62.67857142857142,21.999999999999993,44.99999738501501,-0.15
mp-36248,90.9090909090909,90.90909090909093,-0.31250000000000017,0.06319701011833724,4.0,11.64705882628648,17.875,5.999999999999998,12.999999156972645,-0.15
mp-1008752,37.037037037037024,37.03703703703705,-0.44897959183673486,0.2329976241375717,9.0,23.44736846018241,51.24489795918367,10.999999999999996,46.499991658578,-0.14
mp-1008282,8.771929824561402,8.771929824561404,-0.24603946789230385,-0.04201680672268906,38.0,123.57983193277309,158.09433959264277,64.50000122554708,98.00000000000003,-0.13
mp-10056,5.5972119547998735,5.676417784348927,-0.1862673483912192,-0.06382978723404253,59.0,201.46808510638297,230.08529682478385,113.02051598098281,135.99999999952234,-0.13
mp-2639,71.42857142857142,71.42857142857143,-0.4615384615384616,0.2962962675322514,5.0,11.05263158337389,26.923076923076923,4.999999999999998,24.999994441578767,-0.13
mp-27718,45.45454545454545,45.45454545454547,-0.1538461538461539,-0.05793451326470001,7.0,25.666666675182352,28.76923076923077,13.999999999999998,16.999998762955496,-0.12
mp-6074,11.11111111111111,11.111111111111112,-0.37500000000000017,0.20229005303072323,30.0,80.15625001404413,157.50000000000003,38.0,125.99998378111047,-0.11
mp-25138,10.752688172043012,10.752688172043012,-0.23770491803278695,0.04162769955704787,31.0,98.81250001878826,137.21311475409837,50.99999999999999,89.99999617449767,-0.11
mp-1017467,7.04225352112676,7.042253521126762,-0.20670391061452517,0.013170078147480148,47.0,154.7354261054187,200.70391061452517,81.0,126.49999605026058,-0.11
mp-1006886,23.255813953488364,23.255813953488374,-0.2181818181818182,0.048618601813823055,14.0,44.95454545891059,61.76363636363637,22.999999999999993,39.499990377314035,-0.1
mp-22817,28.560691469372408,30.439684329199544,-0.2941176470588236,0.17804214587003042,12.0,32.61422370250656,52.1764705882353,13.999999999999998,36.64327427141257,-0.1
